ניסוי 1		
t	x	y
0.00	8.19	-9.55
0.03	8.23	-9.50
0.07	8.20	-9.43
0.10	8.20	-9.43
0.13	8.20	-9.43
0.17	8.20	-9.43
0.20	8.20	-9.43
0.23	8.20	-9.43
0.26	8.26	-9.19
0.30	7.97	-8.60
0.33	7.43	-7.72
0.36	6.35	-6.55
0.40	5.24	-5.11
0.43	4.08	-3.56
0.46	2.69	-1.94
0.50	1.19	-0.15
0.53	-0.14	1.49
0.56	-1.31	3.40
0.60	-1.74	5.39
0.63	-1.49	7.23
0.66	-0.88	8.41
0.70	0.01	9.04
0.73	0.93	9.19
0.76	1.90	8.56
0.79	2.63	6.91
0.83	2.93	5.46
0.86	2.52	2.87
0.89	1.45	0.98
0.93	0.38	-0.80
0.96	-0.56	-2.42
0.99	-1.55	-4.57
1.03	-1.43	-6.63
1.06	-0.86	-8.02
1.09	0.12	-8.55
1.13	1.18	-8.45
1.16	2.06	-7.62
1.19	2.49	-5.84
1.23	2.16	-3.95
1.26	1.12	-2.26
1.29	0.09	-0.93
1.32	-0.89	0.08
1.36	-2.08	1.15
1.39	-3.82	1.88
1.42	-5.42	1.96
1.46	-6.40	1.56
1.49	-7.00	0.66
1.52	-6.51	-0.65
1.56	-4.89	-1.57
1.59	-2.71	-1.70
1.62	-1.19	-1.24
1.66	-0.22	-0.45
1.69	0.75	0.25
1.72	1.56	0.78
1.75	2.25	1.75
1.79	2.81	2.78
1.82	2.83	4.18
1.85	1.97	5.53
1.89	0.51	6.10
1.92	-1.01	5.25
1.95	-1.58	3.81
1.99	-1.00	2.49
2.02	0.05	1.84
2.05	1.34	1.63
2.09	2.39	1.88
2.12	3.30	2.44
2.15	4.04	3.10
2.19	4.44	3.67
2.22	4.71	4.18
2.25	4.54	4.26
2.28	3.87	4.33
2.32	3.06	4.28
2.35	1.19	4.23
2.38	-1.03	4.26
2.42	-2.14	4.47
2.45	-2.51	4.43
2.48	-2.05	4.26
2.52	-0.88	4.01
2.55	1.13	4.05
2.58	2.65	4.40
2.62	3.21	4.75
2.65	3.04	4.87
2.68	1.69	4.67
2.72	-0.40	4.12
2.75	-1.85	3.66
2.78	-2.39	3.37
2.81	-2.34	3.03
2.85	-1.92	3.09
2.88	-0.94	3.04
2.91	0.51	3.51
2.95	2.17	4.58
2.98	2.59	5.58
3.01	2.39	5.96
3.05	1.23	5.37
3.08	-0.47	3.99
3.11	-1.35	2.78
3.15	-1.76	2.16
3.18	-1.41	1.84
3.21	-1.23	1.79
3.24	-0.87	1.74
3.28	-0.36	1.94
3.31	0.38	2.90
3.34	1.41	4.50
3.38	1.49	5.92
3.41	1.22	6.36
3.44	0.59	5.77
3.48	0.02	3.85
3.51	-0.02	2.14
3.54	0.16	1.52
3.58	0.56	1.17
3.61	0.83	1.51
3.64	0.99	2.18
3.68	1.06	3.40
3.71	0.59	5.25
3.74	-0.08	6.24
3.77	-0.35	5.98
3.81	0.03	4.67
3.84	0.85	2.92
3.87	1.55	2.09
3.91	1.94	1.91
3.94	2.04	2.26
3.97	1.60	2.98
4.01	0.54	4.36
4.04	-0.39	5.55
4.07	-0.85	5.93
4.11	-0.40	5.25
4.14	0.79	3.66
4.17	1.95	2.71
4.21	2.17	2.53
4.24	2.15	2.71
4.27	1.26	3.53
4.30	-0.13	4.97
4.34	-0.79	5.64
4.37	-0.53	5.58
4.40	0.39	4.47
4.44	1.70	3.13
4.47	2.26	2.77
4.50	2.09	2.87
4.54	1.41	3.57
4.57	0.08	4.82
4.60	-0.59	5.73
4.64	-0.47	5.40
4.67	0.49	4.27
4.70	1.76	3.12
4.73	2.22	2.78
4.77	1.83	3.11
4.80	0.90	4.08
4.83	-0.24	5.08
4.87	-0.55	5.47
4.90	0.05	4.90
4.93	1.29	3.53
4.97	1.83	2.87
5.00	1.81	2.88
5.03	0.95	3.64
5.07	0.02	4.75
5.10	-0.52	5.45
5.13	-0.23	5.24
5.17	0.94	3.89
5.20	1.64	2.96
5.23	1.59	2.75
5.26	0.94	3.44
5.30	0.02	4.70
5.33	-0.37	5.48
5.36	-0.05	5.30
5.40	0.78	4.00
5.43	1.35	2.97
5.46	1.20	2.71
5.50	0.73	3.40
5.53	0.19	4.76
5.56	-0.05	5.72
5.60	0.51	5.30
5.63	0.87	3.78
5.66	1.00	2.85
5.70	0.72	2.77
5.73	0.40	3.34
5.76	0.37	4.83
5.79	0.42	5.57
5.83	0.57	5.20
5.86	0.87	3.50
5.89	0.56	2.75
5.93	0.26	2.83
5.96	0.24	3.77
5.99	0.45	5.39
6.03	0.65	5.60
6.06	0.66	4.87
6.09	0.50	3.18
6.13	0.17	2.77
6.16	0.01	3.30
6.19	0.40	4.55
6.22	0.76	5.60
6.26	1.01	5.43
6.29	0.59	4.03
6.32	0.02	2.98
6.36	-0.14	2.91
6.39	0.05	3.81
6.42	0.85	5.17
6.46	1.16	5.50
6.49	0.95	4.87
6.52	0.12	3.38
6.56	-0.43	2.87
6.59	-0.14	3.40
6.62	0.69	4.72
6.66	1.26	5.38
6.69	1.19	5.11
6.72	0.32	3.95
6.75	-0.40	3.13
6.79	-0.40	3.37
6.82	0.36	4.23
6.85	1.15	5.23
6.89	1.39	5.27
6.92	0.69	4.33
6.95	-0.26	3.53
6.99	-0.50	3.42
7.02	0.05	4.09
7.05	1.02	5.11
7.09	1.45	5.37
7.12	0.85	4.62
7.15	-0.24	3.70
7.19	-0.62	3.56
7.22	-0.13	4.14
7.25	0.98	5.05
7.28	1.54	5.33
7.32	1.04	4.69
7.35	-0.06	4.01
7.38	-0.60	3.70
7.42	-0.02	4.15
7.45	1.07	4.84
7.48	1.71	5.16
7.52	1.27	4.74
7.55	0.11	4.00
7.58	-0.60	3.66
7.62	-0.06	3.98
7.65	1.19	4.56
7.68	1.59	4.79
7.71	1.11	4.46
7.75	0.15	3.93
7.78	-0.45	3.63
7.81	-0.07	4.05
7.85	0.97	4.65
7.88	1.45	4.92
7.91	1.01	4.43
7.95	-0.06	3.98
7.98	-0.69	3.70
8.01	-0.07	4.21
8.05	0.94	4.68
8.08	1.49	4.91
8.11	0.95	4.47
8.15	-0.16	4.01
8.18	-0.87	3.95
8.21	-0.20	4.07
8.24	0.95	4.66
8.28	1.58	4.88
8.31	0.89	4.57
8.34	-0.33	4.18
8.38	-0.63	4.20
8.41	-0.04	4.47
8.44	1.24	4.77
8.48	1.60	4.84
8.51	0.86	4.53
8.54	-0.34	4.31
8.58	-0.62	4.34
8.61	0.26	4.50
8.64	1.44	4.65
8.68	1.59	4.53
8.71	0.64	4.30
8.74	-0.39	4.18
8.77	-0.53	4.28
8.81	0.27	4.47
8.84	1.35	4.58
8.87	1.36	4.45
8.91	0.34	4.28
8.94	-0.45	4.25
8.97	-0.36	4.34
9.01	0.83	4.57
9.04	1.54	4.55
9.07	1.27	4.44
9.11	0.11	4.30
9.14	-0.63	4.40
9.17	-0.09	4.48
9.20	1.00	4.56
9.24	1.39	4.49
9.27	0.63	4.47
9.30	-0.12	4.45
9.34	-0.66	4.54
9.37	0.05	4.61
9.40	1.15	4.62
9.44	1.31	4.46
9.47	0.42	4.40
9.50	-0.57	4.47
9.54	-0.59	4.55
9.57	0.40	4.56
9.60	1.21	4.47
9.64	1.02	4.40
9.67	0.40	4.42
9.70	-0.67	4.52
9.73	-0.28	4.76
9.77	0.79	4.69
