ניסוי 2		
t	x	y
0.20	160.00	-164.69
0.23	152.04	-159.56
0.26	138.25	-145.41
0.30	120.22	-124.20
0.33	94.94	-98.74
0.36	68.77	-72.75
0.40	45.61	-45.17
0.43	21.57	-19.18
0.46	-9.19	7.87
0.50	-39.25	35.62
0.53	-72.66	62.67
0.56	-100.26	82.62
0.60	-127.20	99.79
0.63	-151.45	114.28
0.66	-167.84	125.46
0.70	-176.82	127.51
0.73	-176.82	124.52
0.76	-168.15	116.49
0.79	-150.04	105.30
0.83	-127.67	88.76
0.86	-98.21	66.08
0.89	-65.76	41.82
0.93	-35.88	5.38
0.96	-16.50	-25.63
0.99	0.35	-57.68
1.03	18.46	-101.47
1.06	25.47	-128.24
1.09	31.84	-143.81
1.13	34.67	-150.17
1.16	35.73	-146.64
1.19	33.61	-141.33
1.23	29.36	-121.52
1.26	20.52	-94.28
1.29	6.37	-57.49
1.32	-15.92	-28.48
1.36	-30.07	-3.36
1.39	-51.30	18.22
1.42	-78.54	32.72
1.46	-107.19	35.91
1.49	-121.70	32.37
1.52	-126.30	24.94
1.56	-117.81	9.02
1.59	-97.64	-3.71
1.62	-64.74	-15.04
1.66	-33.25	-10.79
1.69	-13.80	-7.61
1.72	3.54	-5.84
1.75	22.29	-2.65
1.79	36.79	1.24
1.82	61.56	6.54
1.85	93.39	6.90
1.89	117.45	0.88
1.92	113.56	-2.65
1.95	97.99	-5.13
1.99	67.92	-2.30
2.02	45.64	10.79
2.05	36.79	21.05
2.09	35.73	24.94
2.12	38.21	26.71
2.15	45.28	24.94
2.19	57.31	19.28
2.22	83.14	3.01
2.25	103.30	-13.97
2.28	106.48	-21.05
2.32	96.58	-18.22
2.35	74.65	-0.88
2.38	59.08	16.80
2.42	51.65	29.54
2.45	54.48	31.31
2.48	60.49	21.05
2.52	76.77	3.71
2.55	93.04	-16.45
2.58	96.58	-20.34
2.62	87.38	-7.25
2.65	72.52	8.67
2.68	58.02	23.53
2.72	57.31	22.82
2.75	73.23	9.37
2.78	90.92	-10.08
2.81	96.58	-22.11
2.85	89.50	-16.45
2.88	70.75	3.36
2.91	62.62	25.29
2.95	63.32	33.78
2.98	68.98	26.71
3.01	81.01	5.48
3.05	84.20	-20.70
3.08	82.43	-29.54
3.11	75.71	-23.17
3.15	71.46	2.30
3.18	71.82	27.42
3.21	80.66	40.15
3.24	87.03	30.95
3.28	83.14	14.33
3.31	78.18	-15.74
3.34	70.75	-30.25
3.38	69.34	-21.05
3.41	72.17	-1.24
3.44	81.72	17.51
3.48	88.09	29.54
3.51	83.84	15.74
3.54	76.41	-2.30
3.58	70.40	-21.05
3.61	70.05	-25.29
3.64	76.41	-4.42
3.68	83.14	19.63
3.71	85.97	25.65
3.74	84.55	16.45
3.77	77.83	-3.01
3.81	68.28	-22.11
3.84	58.73	-30.60
3.87	66.15	-14.33
3.91	74.29	6.90
3.94	87.38	26.36
3.97	92.69	25.65
4.01	85.61	14.33
4.04	72.52	-13.62
4.07	62.97	-24.23
4.11	62.97	-17.51
4.14	75.00	-1.24
4.17	87.03	15.74
4.21	87.73	21.40
4.24	79.24	12.21
4.27	68.63	-9.02
4.30	62.62	-18.22
4.34	68.63	-11.50
4.37	83.14	1.59
4.40	90.92	13.97
4.44	85.26	18.22
4.47	70.05	4.78
4.50	65.80	-5.84
4.54	70.40	-15.04
4.57	80.31	-6.19
4.60	87.03	9.73
4.64	82.78	18.57
4.67	72.88	11.50
4.70	71.82	-1.95
4.73	73.94	-16.80
4.77	82.07	-16.45
4.80	82.43	0.18
4.83	75.35	16.80
4.87	67.57	21.76
4.90	67.22	13.62
4.93	75.35	-1.59
4.97	86.67	-13.97
5.00	87.73	-6.54
5.03	80.31	3.71
5.07	72.17	15.39
5.10	64.74	11.14
5.13	69.34	-1.59
5.17	81.72	-11.85
5.20	91.98	-13.27
5.23	86.32	-3.71
5.26	75.71	9.02
5.30	66.15	15.04
5.33	63.68	4.42
5.36	76.06	-6.90
5.40	88.44	-12.21
5.43	90.92	-6.54
5.46	78.89	4.42
5.50	68.98	10.44
5.53	62.97	10.44
5.56	67.92	0.53
5.60	84.55	-5.48
5.63	93.04	-6.19
5.66	85.61	3.01
5.70	66.86	14.68
5.73	56.60	11.50
5.76	60.49	5.13
5.79	76.41	-4.07
5.83	87.73	-7.25
5.86	89.15	-2.65
5.89	74.65	3.36
5.93	66.15	7.96
5.96	67.22	7.96
5.99	77.48	1.59
6.03	85.97	-1.95
6.06	81.37	-3.36
6.09	74.65	-2.30
6.13	71.82	5.84
6.16	72.88	7.61
6.19	78.54	-1.59
6.22	84.20	-7.96
6.26	82.43	-5.84
6.29	76.06	6.90
6.32	69.69	14.68
6.36	67.22	9.37
6.39	77.48	-3.71
6.42	86.67	-8.67
6.46	85.97	-2.30
6.49	75.71	10.08
6.52	65.09	16.10
6.56	65.45	3.71
6.59	75.00	-3.01
6.62	88.80	-8.67
6.66	84.20	-4.78
6.69	74.29	4.78
6.72	65.63	12.25
6.75	72.00	7.38
6.79	79.25	0.38
6.82	84.38	-4.25
6.85	74.88	-3.00
6.89	68.25	2.50
6.92	72.50	8.25
6.95	79.75	4.50
6.99	78.88	-2.25
7.02	73.50	-4.00
7.05	70.25	-0.63
7.09	76.25	6.63
7.12	80.88	9.63
7.15	78.00	5.63
7.19	70.50	-7.25
7.22	67.38	-9.75
7.25	75.00	-2.25
7.28	83.38	9.63
7.32	77.13	14.13
7.35	70.75	3.25
7.38	64.13	-3.88
7.42	69.88	-1.63
7.45	76.50	6.25
7.48	78.63	10.13
